Kottaiyur Koteeswarar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s112.html,,
Innambar . -Ezhuttarinatheswarar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s042.html,,
Tiruppurampayam Saakshi Nathar -Punnaivana Nathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s208.html,,
Vijayamangai Gangajateswarar -Vijayanathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s255.html,,
Tiruvaikavur Vilvavananathar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s274.html,,
Kurangaaduturai Dayanideeswarar -Azhagu Sadaimudinaathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s101.html,,
Tiruppazhanam Aabatsahayar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s187.html,,
Tiruvaiyaru Panchanadeeswarar -Aiyaarappar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s050.html,,
Tiruneittanam . -Neyyadiappar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s174.html,,
Tirupperumpuliyur Vyagrapureeswarar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s216.html,,
Tirumazhapadi Vajrastampeswarar -Mazhuvaadeesar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s228.html,,
Tiruppazhuvur (Aalanturai) Vadamoolesar -Aalanturaiyeesar Temple  -,,,
Shivastalam.txt,http://www.templenet.com/Tamilnadu/s188.html,,
Tirukkaanoor . -Semmeninatheswarar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s093.html,,
Anbilalanturai Satyavageeswarar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s016.html,,
Tirumaanturai Amravaneswarar -Maanturaiappar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s232.html,,
